Month,Total_Sales
2023-01,14518.06
2023-02,4519.89
2023-03,56933.91
2023-04,28295.34
2023-05,26319.77
2023-06,34669.48
2023-07,33946.39
2023-08,28918.34
2023-09,82670.43
2023-10,32413.34
2023-11,78826.96
2023-12,72008.31
2024-01,18461.92
2024-02,11951.41
2024-03,39978.63
2024-04,34195.21
2024-05,30246.95
2024-06,24797.29
2024-07,28765.32
2024-08,37057.0
2024-09,64627.05
2024-10,31407.13
2024-11,75972.56
2024-12,75532.56
2025-01,18830.33
2025-02,22978.82
2025-03,53031.07
2025-04,38829.16
2025-05,57042.84
2025-06,40937.15
2025-07,40300.5
2025-08,31716.81
2025-09,73521.66
2025-10,59831.0
2025-11,79411.97
2025-12,97502.28
2026-01,44259.21
2026-02,20301.13
2026-03,60728.48
2026-04,36779.04
2026-05,45155.48
2026-06,53056.08
2026-07,45989.5
2026-08,64129.76
2026-09,88064.53
2026-10,83474.78
2026-11,118454.5
2026-12,85175.03
